,URL,whois,creation,expiration,duration
78,http://www.darkcycles.com/,"('DARKCYCLES.COM', datetime.datetime(2004, 2, 10, 19, 20, 54), datetime.datetime(2022, 2, 10, 19, 20, 54))",2004-02-10 19:20:54,2022-02-10 19:20:54,6575 days 00:00:00
79,http://christopherfranke.com/,"('CHRISTOPHERFRANKE.COM', datetime.datetime(1997, 7, 28, 4, 0), datetime.datetime(2025, 7, 27, 4, 0))",1997-07-28 04:00:00,2025-07-27 04:00:00,10226 days 00:00:00
80,http://www.poleshift.org/sublim/,"(['POLESHIFT.ORG', 'poleshift.org'], datetime.datetime(1997, 12, 15, 5, 0), datetime.datetime(2021, 12, 14, 5, 0))",1997-12-15 05:00:00,2021-12-14 05:00:00,8765 days 00:00:00
81,http://en.wikipedia.org/wiki/Biblioteca_Joanina,"(['WIKIPEDIA.ORG', 'wikipedia.org'], [datetime.datetime(2001, 1, 13, 0, 12, 14), datetime.datetime(2001, 1, 12, 16, 12, 14)], [datetime.datetime(2023, 1, 13, 0, 12, 14), datetime.datetime(2023, 1, 12, 0, 0)])",2001-01-13 00:12:14,2023-01-13 00:12:14,8035 days 00:00:00
82,http://www.wdarc.org/,"('WDARC.ORG', datetime.datetime(1999, 9, 15, 0, 44, 14), datetime.datetime(2025, 9, 15, 0, 44, 14))",1999-09-15 00:44:14,2025-09-15 00:44:14,9497 days 00:00:00
83,http://www.davidshopper.com/,"('DAVIDSHOPPER.COM', datetime.datetime(1997, 8, 18, 4, 0), datetime.datetime(2025, 8, 17, 4, 0))",1997-08-18 04:00:00,2025-08-17 04:00:00,10226 days 00:00:00
84,http://www.britishflorida.com/,"('BRITISHFLORIDA.COM', datetime.datetime(2001, 2, 8, 20, 43, 59), datetime.datetime(2022, 2, 8, 20, 43, 59))",2001-02-08 20:43:59,2022-02-08 20:43:59,7670 days 00:00:00
85,http://www.blipmedia.com/,"(['BLIPMEDIA.COM', 'blipmedia.com'], datetime.datetime(2019, 10, 13, 18, 46, 8), datetime.datetime(2021, 10, 13, 18, 46, 8))",2019-10-13 18:46:08,2021-10-13 18:46:08,731 days 00:00:00
86,http://www.newadvent.org/cathen/13671b.htm,"(['NEWADVENT.ORG', 'newadvent.org'], datetime.datetime(1998, 10, 10, 4, 0), datetime.datetime(2030, 10, 9, 4, 0))",1998-10-10 04:00:00,2030-10-09 04:00:00,11687 days 00:00:00
87,http://badgerherald.com/artsetc/2005/03/10/spektors_true_creati.php,"('BADGERHERALD.COM', datetime.datetime(1995, 8, 18, 4, 0), datetime.datetime(2029, 8, 17, 4, 0))",1995-08-18 04:00:00,2029-08-17 04:00:00,12418 days 00:00:00
88,http://www.sportsline.com/nhl/players/playerpage/20442,"(['SPORTSLINE.COM', 'sportsline.com'], [datetime.datetime(1994, 10, 27, 4, 0), datetime.datetime(1994, 10, 26, 21, 0)], [datetime.datetime(2021, 10, 26, 4, 0), datetime.datetime(2021, 10, 25, 0, 0)])",1994-10-27 04:00:00,2021-10-26 04:00:00,9861 days 00:00:00
89,http://www.susangetz.com/,"('SUSANGETZ.COM', datetime.datetime(2003, 1, 7, 19, 29, 33), datetime.datetime(2026, 1, 7, 19, 29, 33))",2003-01-07 19:29:33,2026-01-07 19:29:33,8401 days 00:00:00
90,http://www.treehugger.com/files/2009/05/david-quammen-interview.php,"('TREEHUGGER.COM', datetime.datetime(2002, 4, 29, 18, 8, 2), datetime.datetime(2022, 4, 29, 18, 8, 2))",2002-04-29 18:08:02,2022-04-29 18:08:02,7305 days 00:00:00
91,http://www.mathstat.uottawa.ca/,"('uottawa.ca', datetime.datetime(2000, 10, 3, 15, 12, 28), datetime.datetime(2022, 7, 3, 4, 0))",2000-10-03 15:12:28,2022-07-03 04:00:00,7942 days 12:47:32
92,http://www.leisureideas.com/logic%20puzzles.htm,"('LEISUREIDEAS.COM', datetime.datetime(1998, 2, 10, 5, 0), datetime.datetime(2022, 2, 9, 5, 0))",1998-02-10 05:00:00,2022-02-09 05:00:00,8765 days 00:00:00
93,http://www.nepes.org/,"('NEPES.ORG', datetime.datetime(2016, 4, 26, 15, 32, 52), datetime.datetime(2022, 4, 26, 15, 32, 52))",2016-04-26 15:32:52,2022-04-26 15:32:52,2191 days 00:00:00
94,http://www.sepit.net/,"('SEPIT.NET', datetime.datetime(2002, 12, 3, 11, 29, 37), datetime.datetime(2021, 12, 3, 11, 29, 37))",2002-12-03 11:29:37,2021-12-03 11:29:37,6940 days 00:00:00
95,http://www.angelfire.com/biz3/TLCCrazzy/Blaque2.html,"(['ANGELFIRE.COM', 'angelfire.com'], [datetime.datetime(1998, 10, 15, 4, 0), datetime.datetime(1998, 10, 15, 0, 0)], [datetime.datetime(2021, 10, 14, 4, 0), datetime.datetime(2021, 10, 14, 0, 0)])",1998-10-15 04:00:00,2021-10-14 04:00:00,8400 days 00:00:00
96,http://www.allthingsyank.com/rockhall/,"('ALLTHINGSYANK.COM', datetime.datetime(2005, 7, 6, 22, 59, 1), datetime.datetime(2021, 7, 6, 22, 59, 1))",2005-07-06 22:59:01,2021-07-06 22:59:01,5844 days 00:00:00
97,http://multimediahrd.com/,"('MULTIMEDIAHRD.COM', datetime.datetime(1998, 5, 8, 4, 0), datetime.datetime(2025, 5, 7, 4, 0))",1998-05-08 04:00:00,2025-05-07 04:00:00,9861 days 00:00:00
